data,cdi_dia_pct,fator,cdi_acumulado
2011-10-27,0.042814,1.00042814,1.0955941674423306
2011-10-28,0.042814,1.00042814,1.0960632351291792
2011-10-31,0.042814,1.00042814,1.0965325036426674
2011-11-01,0.042814,1.00042814,1.0970019730687768
2011-11-03,0.042849,1.00042849,1.0974720274442171
2011-11-04,0.042814,1.00042814,1.097941899118047
2011-11-07,0.042921,1.00042921,1.0984131467605676
2011-11-08,0.042814,1.00042814,1.0988834213652214
2011-11-09,0.042778,1.00042778,1.0993535017152132
2011-11-10,0.042742,1.00042742,1.0998233873889163
2011-11-11,0.042742,1.00042742,1.100293473901154
2011-11-14,0.042671,1.00042671,1.1007629801294023
2011-11-16,0.042707,1.00042707,1.101233082975326
2011-11-17,0.042707,1.00042707,1.1017033865880723
2011-11-18,0.042742,1.00042742,1.102174276649568
2011-11-21,0.042778,1.00042778,1.1026457647616332
2011-11-22,0.042778,1.00042778,1.1031174545668831
2011-11-23,0.042778,1.00042778,1.103589346151598
2011-11-24,0.042778,1.00042778,1.104061439602095
2011-11-25,0.042707,1.00042707,1.1045329511211057
2011-11-28,0.042671,1.00042671,1.1050042663766786
2011-11-29,0.042635,1.00042635,1.1054753849456482
2011-11-30,0.042707,1.00042707,1.105947500318297
2011-12-01,0.040956,1.00040956,1.1064004521765274
2011-12-02,0.040992,1.00040992,1.1068539878498838
2011-12-05,0.041028,1.00041028,1.107308107904019
2011-12-06,0.040992,1.00040992,1.1077620156436112
2011-12-07,0.040956,1.00040956,1.1082157106547383
2011-12-08,0.040884,1.00040884,1.1086687935658823
2011-12-09,0.040813,1.00040813,1.1091212745606005
2011-12-12,0.040777,1.00040777,1.109573540942728
2011-12-13,0.040813,1.00040813,1.1100263911919932
2011-12-14,0.04092,1.0004092,1.110480613991269
2011-12-15,0.040956,1.00040956,1.1109354224315353
2011-12-16,0.040992,1.00040992,1.1113908170798985
2011-12-19,0.041028,1.00041028,1.11184679850433
2011-12-20,0.041063,1.00041063,1.1123033561551998
2011-12-21,0.041028,1.00041028,1.1127597119761632
2011-12-22,0.040992,1.00040992,1.1132158544372965
2011-12-23,0.040992,1.00040992,1.1136721838803476
2011-12-26,0.040884,1.00040884,1.1141274976160052
2011-12-27,0.04092,1.0004092,1.1145833985880296
2011-12-28,0.040884,1.00040884,1.1150390848647083
2011-12-29,0.040956,1.00040956,1.1154957602723055
2011-12-30,0.040956,1.00040956,1.1159526227158827
2012-01-02,0.041028,1.00041028,1.1164104757579307
