codigo,empresa,tipo,participacao,qtd_teorica,indice
SLCE3,SLC AGRICOLA,ON      NM,0.111,220403658.0,IBXX
SMFT3,SMART FIT,ON      NM,0.413,556651316.0,IBXX
SUZB3,SUZANO S.A.,ON      NM,0.977,612918471.0,IBXX
TAEE11,TAESA,UNT     N2,0.326,218568234.0,IBXX
VIVT3,TELEF BRASIL,ON  EJ,0.821,707125712.0,IBXX
TEND3,TENDA,ON      NM,0.143,114768786.0,IBXX
TIMS3,TIM,ON      NM,0.541,777451080.0,IBXX
TOTS3,TOTVS,ON      NM,0.646,533997411.0,IBXX
UGPA3,ULTRAPAR,ON      NM,1.287,1067870496.0,IBXX
USIM5,USIMINAS,PNA     N1,0.144,518256757.0,IBXX
VALE3,VALE,ON      NM,12.175,4268646710.0,IBXX
VAMO3,VAMOS,ON      NM,0.055,448052066.0,IBXX
VBBR3,VIBRA,ON      NM,1.556,1192004780.0,IBXX
VIVA3,VIVARA S.A.,ON      NM,0.103,123698325.0,IBXX
WEGE3,WEG,ON      NM,2.698,1485954732.0,IBXX
YDUQ3,YDUQS PART,ON      NM,0.081,261365845.0,IBXX
TTEN3,3TENTOS,ON      NM,0.049,113066386.0,IBRA
ABCB4,ABC BRASIL,PN      N2,0.069,78936556.0,IBRA
ALOS3,ALLOS,ON      NM,0.479,478558715.0,IBRA
ALPA4,ALPARGATAS,PN      N1,0.058,128924117.0,IBRA
ALUP11,ALUPAR,UNT     N2,0.188,157537587.0,IBRA
ABEV3,AMBEV S/A,ON,2.464,4273841357.0,IBRA
ANIM3,ANIMA,ON      NM,0.02,256720485.0,IBRA
ARML3,ARMAC,ON      NM,0.022,172086226.0,IBRA
ASAI3,ASSAI,ON      NM,0.43,1338623499.0,IBRA
AURE3,AUREN,ON      NM,0.129,317799925.0,IBRA
AXIA3,AXIA ENERGIA,ON      NM,4.216,2156759550.0,IBRA
AZZA3,AZZAS 2154,ON      NM,0.064,109571260.0,IBRA
B3SA3,B3,ON      NM,2.828,4997059816.0,IBRA
BRSR6,BANRISUL,PNB     N1,0.106,202536440.0,IBRA
BBSE3,BBSEGURIDADE,ON      NM,0.935,616248544.0,IBRA
BMOB3,BEMOBI TECH,ON      NM,0.069,79319310.0,IBRA
BLAU3,BLAU,ON      NM,0.012,38584960.0,IBRA
SOJA3,BOA SAFRA,ON      NM,0.012,58542883.0,IBRA
BRBI11,BR PARTNERS,UNT     N2,0.025,47238057.0,IBRA
BBDC3,BRADESCO,ON  EJS N1,0.888,1548223583.0,IBRA
BBDC4,BRADESCO,PN  EJS N1,3.543,5392761254.0,IBRA
BRAP4,BRADESPAR,PN      N1,0.201,250914708.0,IBRA
SAUD3,BRADSAUDE,ON      NM,0.132,251735971.0,IBRA
BBAS3,BRASIL,ON      NM,2.178,2842496541.0,IBRA
BRKM5,BRASKEM,PNA     N1,0.057,265709734.0,IBRA
BRAV3,BRAVA,ON      NM,0.245,346772300.0,IBRA
BPAC11,BTGP BANCO,UNT     N2,2.47,1194624560.0,IBRA
CXSE3,CAIXA SEGURI,ON  ED  NM,0.425,600000000.0,IBRA
CAML3,CAMIL,ON      NM,0.016,96218424.0,IBRA
BHIA3,CASAS BAHIA,ON      NM,0.004,143421097.0,IBRA
CBAV3,CBA,ON      NM,0.083,204441277.0,IBRA
CEAB3,CEA MODAS,ON      NM,0.07,204964309.0,IBRA
CMIG4,CEMIG,PN      N1,0.78,1904057894.0,IBRA
COGN3,COGNA ON,ON  ATZ NM,0.155,1915914094.0,IBRA
CSMG3,COPASA,ON      NM,0.834,359581776.0,IBRA
CPLE3,COPEL,ON      NM,1.606,2969406694.0,IBRA
CSAN3,COSAN,ON      NM,0.319,2242671999.0,IBRA
CPFE3,CPFL ENERGIA,ON      NM,0.315,187732538.0,IBRA
CMIN3,CSNMINERACAO,ON      N2,0.353,1646519336.0,IBRA
CURY3,CURY S/A,ON      NM,0.188,160988231.0,IBRA
CVCB3,CVC BRASIL,ON      NM,0.023,408009727.0,IBRA
CYRE3,CYRELA REALT,ON      NM,0.222,281609283.0,IBRA
DASA3,DASA,ON      NM,0.018,177124938.0,IBRA
DESK3,DESKTOP,ON      NM,0.024,34835856.0,IBRA
DXCO3,DEXCO,ON      NM,0.062,336842147.0,IBRA
PNVL3,DIMED,ON      NM,0.037,82405671.0,IBRA
DIRR3,DIRECIONAL,ON      NM,0.141,327091595.0,IBRA
ECOR3,ECORODOVIAS,ON      NM,0.086,328954615.0,IBRA
EMBJ3,EMBRAER,ON      NM,2.41,711833141.0,IBRA
ENGI11,ENERGISA,UNT     N2,0.595,325503046.0,IBRA
ENEV3,ENEVA,ON      NM,1.879,1913352180.0,IBRA
EGIE3,ENGIE BRASIL,ON      NM,0.481,443065303.0,IBRA
EQTL3,EQUATORIAL,ON      NM,1.779,1247728993.0,IBRA
EVEN3,EVEN,ON      NM,0.032,185333384.0,IBRA
EZTC3,EZTEC,ON      NM,0.05,121216090.0,IBRA
FESA4,FERBASA,PN      N1,0.032,147407600.0,IBRA
FLRY3,FLEURY,ON      NM,0.282,447150822.0,IBRA
FRAS3,FRAS-LE,ON      N1,0.077,107111030.0,IBRA
GFSA3,GAFISA,ON      NM,0.002,193423606.0,IBRA
GGBR4,GERDAU,PN      N1,1.205,1258208269.0,IBRA
GOAU4,GERDAU MET,PN      N1,0.348,830837767.0,IBRA
GGPS3,GPS,ON      NM,0.134,314841214.0,IBRA
GRND3,GRENDENE,ON      NM,0.031,236867166.0,IBRA
GMAT3,GRUPO MATEUS,ON      NM,0.065,457961064.0,IBRA
SBFG3,GRUPO SBF,ON      NM,0.044,128452352.0,IBRA
HAPV3,HAPVIDA,ON      NM,0.11,271662290.0,IBRA
HBOR3,HELBOR,ON      NM,0.005,65595478.0,IBRA
HBSA3,HIDROVIAS,ON      NM,0.061,543551243.0,IBRA
HYPE3,HYPERA,ON      NM,0.251,321083946.0,IBRA
IGTI11,IGUATEMI S.A,UNT     N1,0.187,205800982.0,IBRA
INTB3,INTELBRAS,ON  ED  NM,0.063,113898409.0,IBRA
MYPK3,IOCHP-MAXION,ON      NM,0.047,138703243.0,IBRA
RANI3,IRANI,ON      NM,0.031,100436772.0,IBRA
IRBR3,IRBBRASIL RE,ON      NM,0.161,81534304.0,IBRA
ISAE4,ISA ENERGIA,PN      N1,0.447,460013216.0,IBRA
ITSA4,ITAUSA,PN      N1,2.984,5970738360.0,IBRA
ITUB3,ITAUUNIBANCO,ON  EJ  N1,0.75,456130473.0,IBRA
ITUB4,ITAUUNIBANCO,PN  EJ  N1,8.252,5349695485.0,IBRA
JHSF3,JHSF PART,ON  ED  NM,0.103,260721097.0,IBRA
JSLG3,JSL,ON      NM,0.018,84133393.0,IBRA
KEPL3,KEPLER WEBER,ON      NM,0.039,173082697.0,IBRA
KLBN11,KLABIN S/A,UNT     N2,0.546,804572623.0,IBRA
LAVV3,LAVVI,ON      NM,0.029,74230129.0,IBRA
RENT3,LOCALIZA,ON      NM,1.396,978479038.0,IBRA
LOGG3,LOG COM PROP,ON      NM,0.048,51533220.0,IBRA
LREN3,LOJAS RENNER,ON      NM,0.489,982593716.0,IBRA
LWSA3,LWSA,ON      NM,0.053,374338847.0,IBRA
MDIA3,M.DIASBRANCO,ON      NM,0.042,64887799.0,IBRA
MGLU3,MAGAZ LUIZA,ON      NM,0.065,373155063.0,IBRA
POMO3,MARCOPOLO,ON      N2,0.032,203825655.0,IBRA
POMO4,MARCOPOLO,PN      N2,0.124,728266241.0,IBRA
MBRF3,MARFRIG,ON  ATZ NM,0.465,761175338.0,IBRA
CASH3,MELIUZ,ON      NM,0.015,93078828.0,IBRA
LEVE3,METAL LEVE,ON      NM,0.062,52865876.0,IBRA
MILS3,MILLS,ON      NM,0.062,108722880.0,IBRA
BEEF3,MINERVA,ON      NM,0.06,454804863.0,IBRA
MOTV3,MOTIVA SA,ON      NM,0.546,1002196725.0,IBRA
MDNE3,MOURA DUBEUX,ON      NM,0.057,62112530.0,IBRA
MOVI3,MOVIDA,ON  ES  NM,0.048,165088193.0,IBRA
MRVE3,MRV,ON      NM,0.064,374681353.0,IBRA
MULT3,MULTIPLAN,ON      N2,0.334,320022221.0,IBRA
NATU3,NATURA,ON      NM,0.253,838359453.0,IBRA
ORVR3,ORIZON,ON      NM,0.142,54399873.0,IBRA
PGMN3,PAGUE MENOS,ON      NM,0.039,303890693.0,IBRA
PETR3,PETROBRAS,ON      N2,5.969,3478483761.0,IBRA
PETR4,PETROBRAS,PN      N2,6.732,4410960450.0,IBRA
RECV3,PETRORECSA,ON      NM,0.101,274624898.0,IBRA
AUAU3,PETZCOBASI,ON      NM,0.027,205617553.0,IBRA
PINE4,PINE,PN      N2,0.034,70606588.0,IBRA
PLPL3,PLANOEPLANO,ON      NM,0.015,54395641.0,IBRA
PSSA3,PORTO SEGURO,ON      NM,0.348,178825403.0,IBRA
POSI3,POSITIVO TEC,ON      NM,0.009,72078995.0,IBRA
PRNR3,PRINER,ON      NM,0.039,55925047.0,IBRA
PRIO3,PRIO,ON      NM,1.631,757265605.0,IBRA
QUAL3,QUALICORP,ON      NM,0.016,279655194.0,IBRA
LJQQ3,QUERO-QUERO,ON      NM,0.009,195194199.0,IBRA
