codigo,empresa,indices,origem,motivo_saida,sucessor
RAPT4,RANDON PART,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
RCSL4,RECRUSUL,IBRA|SMLL,indice_vigente,,
RDOR3,REDE D OR,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
RECV3,PETRORECSA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
RENT3,LOCALIZA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
RIAA3,RIACHUELO,IBRA|IGCX|SMLL,indice_vigente,,
RNEW3,RENOVA,IGCX,indice_vigente,,
RNEW4,RENOVA,IGCX,indice_vigente,,
ROMI3,ROMI,IGCX,indice_vigente,,
SANB11,SANTANDER BR,IBOV|IBRA|IBXX,indice_vigente,,
SAPR11,SANEPAR,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
SAUD3,BRADSAUDE,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
SBFG3,GRUPO SBF,IBRA|IGCX|SMLL,indice_vigente,,
SBSP3,SABESP,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
SCAR3,SAO CARLOS,IGCX,indice_vigente,,
SEER3,SER EDUCA,IBRA|IGCX|SMLL,indice_vigente,,
SIMH3,SIMPAR,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
SLCE3,SLC AGRICOLA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
SMFT3,SMART FIT,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
SMTO3,SAO MARTINHO,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
SOJA3,BOA SAFRA,IBRA|IGCX|SMLL,indice_vigente,,
SUZB3,SUZANO S.A.,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
SYNE3,SYN PROP TEC,IBRA|IGCX|SMLL,indice_vigente,,
TAEE11,TAESA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
TASA3,TAURUS ARMAS,IGCX,indice_vigente,,
TASA4,TAURUS ARMAS,IGCX,indice_vigente,,
TCSA3,TECNISA,IGCX,indice_vigente,,
TECN3,TECHNOS,IGCX,indice_vigente,,
TEND3,TENDA,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
TFCO4,TRACK FIELD,IBRA|IGCX|SMLL,indice_vigente,,
TGMA3,TEGMA,IBRA|IGCX|SMLL,indice_vigente,,
TIMS3,TIM,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
TOTS3,TOTVS,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
TPIS3,TRIUNFO PART,IGCX,indice_vigente,,
TRIS3,TRISUL,IGCX,indice_vigente,,
TTEN3,3TENTOS,IBRA|IGCX|SMLL,indice_vigente,,
TUPY3,TUPY,IBRA|IGCX|SMLL,indice_vigente,,
UCAS3,UNICASA,IGCX,indice_vigente,,
UGPA3,ULTRAPAR,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
UNIP6,UNIPAR,IBRA|SMLL,indice_vigente,,
USIM3,USIMINAS,IGCX,indice_vigente,,
USIM5,USIMINAS,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
VALE3,VALE,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
VAMO3,VAMOS,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
VBBR3,VIBRA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
VITT3,VITTIA,IGCX,indice_vigente,,
VIVA3,VIVARA S.A.,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
VIVT3,TELEF BRASIL,IBOV|IBRA|IBXX,indice_vigente,,
VLID3,VALID,IBRA|IGCX|SMLL,indice_vigente,,
VSTE3,VESTE,IGCX,indice_vigente,,
VTRU3,VITRUEDUCA,IBRA|IGCX|SMLL,indice_vigente,,
VULC3,VULCABRAS,IBRA|IGCX|SMLL,indice_vigente,,
VVEO3,VIVEO,IGCX,indice_vigente,,
WDCN3,WDC NETWORKS,IGCX,indice_vigente,,
WEGE3,WEG,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
WEST3,WESTWING,IGCX,indice_vigente,,
WIZC3,WIZ CO,IGCX,indice_vigente,,
YDUQ3,YDUQS PART,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
CRUZ3,Souza Cruz,,candidato_historico,"fechamento de capital (OPA British American Tobacco, 2015)",
CIEL3,Cielo,,candidato_historico,fechamento de capital (2024),
ENBR3,EDP Brasil,,candidato_historico,"fechamento de capital (OPA EDP, 2023)",
ELPL4,Eletropaulo,,candidato_historico,aquisição pela Enel e deslistagem (2018),
ELPL3,Eletropaulo ON,,candidato_historico,aquisição pela Enel e deslistagem (2018),
MPLU3,Multiplus,,candidato_historico,incorporada pela LATAM (2019),
LINX3,Linx,,candidato_historico,aquisição pela StoneCo (2021),
BRPR3,BR Properties,,candidato_historico,venda de ativos e deslistagem (2022),
SQIA3,Sinqia,,candidato_historico,aquisição pela Evertec (2023),
TAMM4,TAM,,candidato_historico,fusão LATAM e deslistagem (2016),
NETC4,Net Serviços,,candidato_historico,fechamento de capital (2015),
CTIP3,Cetip,,candidato_historico,incorporada pela BM&FBovespa (2017),
ALLL3,ALL Logística,,candidato_historico,incorporada pela Rumo (2015),
FIBR3,Fibria,,candidato_historico,incorporada pela Suzano (2019),
SMLE3,Smiles,,candidato_historico,incorporada pela GOL (2021),
BISA3,Brookfield Incorporações,,candidato_historico,fechamento de capital (2015),
ABRE11,Abril Educação,,candidato_historico,"virou Somos Educação, adquirida (2018)",
SSBR3,Sonae Sierra Brasil,,candidato_historico,fechamento de capital (2018),
PRML3,Prumo Logística,,candidato_historico,fechamento de capital (2018),
MAGG3,Magnesita,,candidato_historico,fusão com RHI (2017),
BKBR3,Burger King Brasil,,candidato_historico,virou Zamp,ZAMP3
MOSI3,Mosaico,,candidato_historico,adquirida pelo Méliuz (2021),
SULA11,SulAmérica,,candidato_historico,incorporada pela Rede D'Or (2022),RDOR3
GNDI3,Notre Dame Intermédica,,candidato_historico,incorporada pela Hapvida (2022),HAPV3
BIDI11,Banco Inter units,,candidato_historico,migração para Nasdaq via BDR (2022),INBR32
BIDI4,Banco Inter PN,,candidato_historico,migração para Nasdaq via BDR (2022),INBR32
CESP6,CESP,,candidato_historico,virou Auren Energia (2022),AURE3
CESP3,CESP ON,,candidato_historico,virou Auren Energia (2022),AURE3
IGTA3,Iguatemi,,candidato_historico,reorganização societária (2021),IGTI11
QGEP3,Queiroz Galvão E&P,,candidato_historico,virou Enauta,ENAT3
ENAT3,Enauta,,candidato_historico,fusão com 3R e virou Brava (2024),BRAV3
RRRP3,3R Petroleum,,candidato_historico,fusão com Enauta e virou Brava (2024),BRAV3
AESB3,AES Brasil,,candidato_historico,aquisição pela Auren (2024),AURE3
TIET11,AES Tietê units,,candidato_historico,virou AES Brasil (2020),AESB3
GETI4,AES Tietê PN,,candidato_historico,reorganização (2018),AESB3
GETI3,AES Tietê ON,,candidato_historico,reorganização (2018),AESB3
OGXP3,OGX Petróleo,,candidato_historico,recuperação judicial,OGXP3
MMXM3,MMX Mineração,,candidato_historico,recuperação judicial,
LLXL3,LLX Logística,,candidato_historico,virou Prumo,PRML3
LUPA3,Lupatech,,candidato_historico,recuperação judicial,
RSID3,Rossi Residencial,,candidato_historico,reestruturação,
VIVR3,Viver Incorporadora,,candidato_historico,recuperação judicial,
CTAX3,Contax,,candidato_historico,"reestruturação, virou Liq",LIQO3
INEP4,Inepar,,candidato_historico,recuperação judicial,
