ticker,grupo,n_obs,inicio,fim,liquidez_mediana,empresa,origem,motivo_saida,sucessor,meses_no_universo,serie_encerrada
INTB3,INTB,1370,2021-02-08,2026-08-05,27092835.576438904,INTELBRAS,indice_vigente,,,19,False
ECOR3,ECOR,3875,2011-01-03,2026-08-05,25629953.72143936,ECORODOVIAS,indice_vigente,,,148,False
ISAE4,ISAE,3875,2011-01-03,2026-08-05,25472159.147644043,ISA ENERGIA,indice_vigente,,,174,False
CBAV3,CBAV,1262,2021-07-16,2026-08-05,25375320.88303566,CBA,indice_vigente,,,18,False
SBFG3,SBFG,1818,2019-04-17,2026-08-05,25268153.752708435,GRUPO SBF,indice_vigente,,,21,False
ENGI11,ENGI,3875,2011-01-03,2026-08-05,25072292.96904373,ENERGISA,indice_vigente,,,118,False
CURY3,CURY,1462,2020-09-21,2026-08-05,24907054.4567585,CURY S/A,indice_vigente,,,26,False
CEAB3,CEAB,1678,2019-11-05,2026-08-05,24585315.835285187,CEA MODAS,indice_vigente,,,28,False
SIMH3,SIMH,1463,2020-09-18,2026-08-05,24231507.719039917,SIMPAR,indice_vigente,,,0,False
ENEV3,ENEV,3875,2011-01-03,2026-08-05,20907216.72744751,ENEVA,indice_vigente,,,126,False
CSMG3,CSMG,3875,2011-01-03,2026-08-05,20543011.484527588,COPASA,indice_vigente,,,140,False
BEEF3,BEEF,3875,2011-01-03,2026-08-05,18846093.047546387,MINERVA,indice_vigente,,,167,False
CASH3,CASH,1429,2020-11-09,2026-08-05,18767118.25127077,MELIUZ,indice_vigente,,,26,False
DXCO3,DXCO,3875,2011-01-03,2026-08-05,18621210.620422363,DEXCO,indice_vigente,,,146,False
MDIA3,MDIA,3875,2011-01-03,2026-08-05,18218673.358154297,M.DIASBRANCO,indice_vigente,,,138,False
SLCE3,SLCE,3875,2011-01-03,2026-08-05,16851774.604159355,SLC AGRICOLA,indice_vigente,,,124,False
