codigo,empresa,indices,origem,motivo_saida,sucessor,n_obs,inicio,fim,disponivel
FIBR3,Fibria,,candidato_historico,incorporada pela Suzano (2019),,1987,2011-01-03,2019-01-02,True
FIQE3,UNIFIQUE,IGCX,indice_vigente,,,1253,2021-07-29,2026-08-05,True
FLRY3,FLEURY,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
FRAS3,FRAS-LE,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
GFSA3,GAFISA,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
GGBR3,GERDAU,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
GGBR4,GERDAU,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
GGPS3,GPS,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1317,2021-04-28,2026-08-05,True
GMAT3,GRUPO MATEUS,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1447,2020-10-13,2026-08-05,True
GOAU3,GERDAU MET,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
GOAU4,GERDAU MET,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
GRND3,GRENDENE,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
HAPV3,HAPVIDA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,2057,2018-04-26,2026-08-05,True
HBOR3,HELBOR,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
HBRE3,HBR REALTY,IGCX,indice_vigente,,,1379,2021-01-26,2026-08-05,True
HBSA3,HIDROVIAS,IBRA|IGCX|SMLL,indice_vigente,,,1458,2020-09-25,2026-08-05,True
HYPE3,HYPERA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
IGTI11,IGUATEMI S.A,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1175,2021-11-22,2026-08-05,True
INEP4,Inepar,,candidato_historico,recuperação judicial,,3828,2011-01-03,2026-08-05,True
